Truth?,ID,Smile Intensity,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
1,20190119164530,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.005,0.0
0,20190119164602,0.024,0.0,0.002,0.0,0.0,0.024,0.974,0.0,0.0
0,20190119164643,0.0,0.0,0.002,0.0,0.0,0.0,0.989,0.008,0.0
1,20190119164831,0.014,0.0,0.002,0.0,0.0,0.014,0.984,0.0,0.0
0,20190119164903,0.001,0.001,0.066,0.0,0.0,0.001,0.921,0.01,0.0
1,20190119164927,0.334,0.0,0.003,0.0,0.0,0.334,0.662,0.0,0.0
0,20190119164954,0.0,0.0,0.01,0.0,0.0,0.0,0.983,0.006,0.0
1,20190119165014,0.001,0.001,0.042,0.0,0.0,0.001,0.926,0.03,0.0
0,20190119165114,0.0,0.0,0.002,0.0,0.0,0.0,0.967,0.031,0.0
0,20190119165238,0.0,0.0,0.018,0.0,0.0,0.0,0.974,0.008,0.0
1,20190119165335,0.008,0.0,0.004,0.0,0.0,0.008,0.986,0.002,0.0
